Patient	Gene	-log10(p-value)
10	Rv0470c	NA
10	Rv0470A	NA
10	Rv0471c	NA
10	Rv0472c	NA
10	Rv0473	NA
10	Rv0474	NA
10	Rv0475	NA
10	Rv0476	NA
10	Rv0477	NA
10	Rv0478	0
10	Rv0479c	NA
10	Rv0480c	NA
10	Rv0481c	NA
10	Rv0482	NA
10	Rv0483	NA
10	Rv0484c	NA
10	Rv0485	NA
10	Rv0486	NA
10	Rv0487	NA
10	Rv0488	NA
10	Rv0489	NA
10	Rv0490	NA
10	Rv0491	NA
10	Rv0492c	NA
10	Rv0492A	NA
10	Rv0493c	NA
10	Rv0494	NA
10	Rv0495c	0
10	Rv0496	0.5526786
10	Rv0497	NA
10	Rv0498	NA
10	Rv0499	NA
10	Rv0500	NA
10	Rv0500A	NA
10	Rv0500B	NA
10	Rv0501	NA
10	Rv0502	NA
10	Rv0503c	NA
10	Rv0504c	NA
10	Rv0505c	NA
10	Rv0506	NA
10	Rv0507	NA
10	Rv0508	NA
10	Rv0509	NA
10	Rv0510	0.55458267
10	Rv0511	NA
10	Rv0512	NA
10	Rv0513	NA
10	Rv0514	NA
10	Rv0515	NA
10	Rv0516c	NA
10	Rv0517	0.21876647
10	Rv0518	NA
10	Rv0519c	NA
10	Rv0520	NA
10	Rv0521	NA
10	Rv0522	NA
10	Rv0523c	NA
10	Rv0524	NA
10	Rv0525	NA
10	Rv0526	NA
10	Rv0527	NA
10	Rv0528	NA
10	Rv0529	NA
10	Rv0530	NA
10	Rv0531	NA
10	Rv0532	0.2599967
10	Rv0533c	NA
10	Rv0534c	NA
10	Rv0535	NA
10	Rv0536	NA
10	Rv0537c	NA
10	Rv0538	NA
10	Rv0539	NA
10	Rv0540	NA
10	Rv0541c	NA
10	Rv0542c	NA
10	Rv0543c	NA
10	Rv0544c	NA
10	Rv0545c	0
10	Rv0546c	NA
10	Rv0547c	NA
10	Rv0548c	NA
10	Rv0549c	NA
10	Rv0550c	NA
10	Rv0551c	NA
10	Rv0552	0
10	Rv0553	NA
10	Rv0554	0
10	Rv0555	NA
10	Rv0556	0.25459837
10	Rv0557	NA
10	Rv0558	0.59235167
10	Rv0559c	NA
10	Rv0560c	NA
10	Rv0561c	NA
10	Rv0562	NA
10	Rv0563	0.52417472
10	Rv0564c	NA
10	Rv0565c	NA
10	Rv0566c	NA
10	Rv0567	NA
10	Rv0568	NA
10	Rv0569	NA
10	Rv0570	NA
10	Rv0571c	NA
10	Rv0572c	NA
10	Rv0573c	NA
10	Rv0574c	NA
10	Rv0575c	NA
10	Rv0576	NA
10	Rv0577	NA
10	Rv0578c	0.2500999
10	Rv0579	NA
10	Rv0580c	NA
10	Rv0581	NA
10	Rv0582	NA
10	Rv0583c	NA
10	Rv0584	0
10	Rv0585c	NA
10	Rv0586	NA
10	Rv0587	0.25223388
10	Rv0588	NA
10	Rv0589	NA
10	Rv0590	0.25080475
10	Rv0590A	NA
10	Rv0591	NA
10	Rv0592	0
10	Rv0593	NA
10	Rv0594	NA
10	Rv0595c	NA
10	Rv0596c	NA
10	Rv0597c	NA
10	Rv0598c	NA
10	Rv0599c	NA
10	Rv0600c	NA
10	Rv0601c	NA
10	Rv0602c	0.23770293
10	Rv0603	NA
10	Rv0604	NA
10	Rv0605	NA
10	Rv0606	NA
10	Rv0607	NA
10	Rv0608	NA
10	Rv0609	NA
10	Rv0609A	NA
10	Rv0610c	NA
10	Rv0611c	0
10	Rv0612	NA
10	Rv0613c	NA
10	Rv0614	NA
10	Rv0615	NA
10	Rv0616c	NA
10	Rv0617	0.20918505
10	Rv0618	NA
10	Rv0619	NA
10	Rv0620	NA
10	Rv0621	NA
10	Rv0622	NA
10	Rv0623	NA
10	Rv0624	NA
10	Rv0625c	NA
10	Rv0626	NA
10	Rv0627	NA
10	Rv0628c	NA
10	Rv0629c	NA
10	Rv0630c	0
10	Rv0631c	NA
10	Rv0632c	NA
10	Rv0633c	NA
10	Rv0634c	NA
10	Rv0634A	NA
10	Rv0634B	NA
10	Rv0635	NA
10	Rv0636	NA
10	Rv0637	NA
10	Rv0638	NA
10	Rv0639	NA
10	Rv0640	0.25717614
10	Rv0641	NA
10	Rv0642c	NA
10	Rv0643c	0
10	Rv0644c	NA
10	Rv0645c	NA
10	Rv0646c	NA
10	Rv0647c	0
10	Rv0648	NA
10	Rv0649	NA
10	Rv0650	NA
10	Rv0651	NA
10	Rv0652	NA
10	Rv0653c	NA
10	Rv0654	NA
10	Rv0655	NA
10	Rv0656c	NA
10	Rv0657c	NA
10	Rv0658c	NA
10	Rv0659c	NA
10	Rv0660c	NA
10	Rv0661c	NA
10	Rv0662c	NA
10	Rv0663	0.25726368
10	Rv0664	NA
10	Rv0665	NA
10	Rv0666	NA
10	Rv0667	58.13670807
10	Rv0668	34.92180894
10	Rv0669c	NA
10	Rv0670	NA
10	Rv0671	NA
10	Rv0672	NA
10	Rv0673	NA
10	Rv0674	NA
10	Rv0675	NA
10	Rv0676c	NA
10	Rv0677c	NA
10	Rv0678	NA
10	Rv0679c	NA
10	Rv0680c	NA
10	Rv0681	NA
10	Rv0682	NA
10	Rv0683	NA
10	Rv0684	16.73520861
10	Rv0685	NA
10	Rv0686	NA
10	Rv0687	NA
10	Rv0688	1.13871126
10	Rv0689c	NA
10	Rv0690c	NA
10	Rv0691c	NA
10	Rv0692	NA
10	Rv0693	NA
10	Rv0694	NA
10	Rv0695	NA
10	Rv0696	NA
10	Rv0697	NA
10	Rv0698	NA
10	Rv0699	NA
10	Rv0700	NA
10	Rv0701	NA
10	Rv0702	NA
10	Rv0703	NA
10	Rv0704	NA
10	Rv0705	NA
10	Rv0706	NA
10	Rv0707	NA
10	Rv0708	21.87366553
10	Rv0709	NA
10	Rv0710	NA
10	Rv0711	0.46094673
10	Rv0712	0.25199953
10	Rv0713	NA
10	Rv0714	NA
10	Rv0715	NA
10	Rv0716	NA
10	Rv0717	NA
10	Rv0718	NA
10	Rv0719	NA
10	Rv0720	NA
10	Rv0721	0.5669895
10	Rv0722	NA
10	Rv0723	0.54810322
10	Rv0724	NA
10	Rv0724A	NA
10	Rv0725c	NA
10	Rv0726c	0.31825347
10	Rv0727c	NA
10	Rv0728c	NA
10	Rv0729	NA
10	Rv0730	NA
10	Rv0731c	NA
10	Rv0732	NA
10	Rv0733	NA
10	Rv0734	NA
10	Rv0735	NA
10	Rv0736	NA
10	Rv0737	NA
10	Rv0738	NA
10	Rv0739	NA
10	Rv0740	0
10	Rv0741	NA
10	Rv0742	NA
10	Rv0743c	NA
10	Rv0744c	NA
10	Rv0745	NA
10	Rv0746	4.95192752
10	Rv0747	13.79947455
10	Rv0748	NA
10	Rv0749	NA
10	Rv0749A	NA
10	Rv0750	NA
10	Rv0751c	NA
10	Rv0752c	NA
10	Rv0753c	NA
10	Rv0754	NA
10	Rv0755c	0.28395228
10	Rv0755A	0
10	Rv0756c	NA
10	Rv0757	NA
10	Rv0758	0.54407802
10	Rv0759c	NA
10	Rv0760c	0
10	Rv0761c	NA
10	Rv0762c	NA
10	Rv0763c	NA
10	Rv0764c	NA
10	Rv0765c	NA
10	Rv0766c	0.63396194
10	Rv0767c	NA
10	Rv0768	NA
10	Rv0769	NA
10	Rv0770	NA
10	Rv0771	NA
10	Rv0772	NA
10	Rv0773c	NA
10	Rv0774c	NA
10	Rv0775	NA
10	Rv0776c	0.52943462
10	Rv0777	NA
10	Rv0778	NA
10	Rv0779c	NA
10	Rv0780	NA
10	Rv0781	NA
10	Rv0782	NA
10	Rv0783c	NA
10	Rv0784	0.25651805
10	Rv0785	0.24298549
10	Rv0786c	NA
10	Rv0787	NA
10	Rv0787A	NA
10	Rv0788	NA
10	Rv0789c	NA
10	Rv0790c	NA
10	Rv0791c	NA
10	Rv0792c	NA
10	Rv0793	NA
10	Rv0794c	NA
10	Rv0795	NA
10	Rv0797	NA
10	Rv0798c	0
10	Rv0799c	NA
10	Rv0800	NA
10	Rv0801	NA
10	Rv0802c	NA
10	Rv0803	NA
10	Rv0804	NA
10	Rv0805	NA
10	Rv0806c	NA
10	Rv0807	NA
10	Rv0808	NA
10	Rv0809	NA
10	Rv0810c	NA
10	Rv0811c	NA
10	Rv0812	NA
10	Rv0813c	NA
10	Rv0814c	NA
10	Rv0815c	NA
10	Rv0816c	NA
10	Rv0817c	NA
10	Rv0818	0.6113613
10	Rv0819	NA
10	Rv0820	NA
10	Rv0821c	0
10	Rv0822c	NA
10	Rv0823c	0.25716448
10	Rv0824c	NA
10	Rv0825c	NA
10	Rv0826	NA
10	Rv0827c	NA
10	Rv0828c	NA
10	Rv0829	NA
10	Rv0830	NA
10	Rv0831c	NA
10	Rv0832	NA
10	Rv0833	NA
10	Rv0834c	NA
10	Rv0835	NA
10	Rv0836c	NA
10	Rv0837c	NA
10	Rv0838	NA
10	Rv0839	NA
10	Rv0840c	NA
10	Rv0841	NA
10	Rv0842	1.1068747
10	Rv0843	NA
10	Rv0844c	NA
10	Rv0845	NA
10	Rv0846c	NA
10	Rv0847	NA
10	Rv0848	NA
10	Rv0849	NA
10	Rv0850	NA
10	Rv0851c	0.25501073
10	Rv0852	NA
10	Rv0853c	NA
10	Rv0854	NA
10	Rv0855	NA
10	Rv0856	NA
10	Rv0857	NA
10	Rv0858c	NA
10	Rv0859	NA
10	Rv0860	NA
10	Rv0861c	NA
10	Rv0862c	NA
10	Rv0863	NA
10	Rv0864	NA
10	Rv0865	NA
10	Rv0866	NA
10	Rv0867c	NA
10	Rv0868c	NA
10	Rv0869c	NA
10	Rv0870c	NA
10	Rv0871	NA
10	Rv0872c	NA
10	Rv0873	NA
10	Rv0874c	NA
10	Rv0875c	NA
10	Rv0876c	NA
10	Rv0877	NA
10	Rv0878c	2.45267178
10	Rv0879c	NA
10	Rv0880	NA
10	Rv0881	NA
10	Rv0882	NA
10	Rv0883c	NA
10	Rv0884c	NA
10	Rv0885	NA
10	Rv0886	NA
10	Rv0887c	NA
10	Rv0888	NA
10	Rv0889c	NA
10	Rv0890c	0.83571738
10	Rv0891c	NA
10	Rv0892	NA
10	Rv0893c	NA
10	Rv0894	0.5062965
10	Rv0895	NA
10	Rv0896	NA
10	Rv0897c	NA
10	Rv0898c	NA
10	Rv0899	NA
10	Rv0900	NA
10	Rv0901	NA
10	Rv0902c	NA
10	Rv0903c	NA
10	Rv0904c	NA
10	Rv0905	NA
10	Rv0906	NA
10	Rv0907	0.25689394
10	Rv0908	NA
10	Rv0909	NA
10	Rv0910	NA
10	Rv0911	NA
10	Rv0912	NA
10	Rv0913c	0.52870605
10	Rv0914c	NA
10	Rv0915c	NA
10	Rv0916c	NA
10	Rv0917	NA
10	Rv0918	NA
10	Rv0919	NA
10	Rv0920c	NA
10	Rv0921	0.25764428
10	Rv0922	NA
10	Rv0923c	NA
10	Rv0924c	NA
10	Rv0925c	NA
10	Rv0926c	0.25165979
10	Rv0927c	NA
10	Rv0928	NA
10	Rv0929	NA
10	Rv0930	NA
10	Rv0931c	0.23452438
10	Rv0932c	NA
10	Rv0933	NA
10	Rv0934	NA
10	Rv0935	NA
10	Rv0936	0.24933926
10	Rv0937c	NA
10	Rv0938	NA
10	Rv0939	NA
10	Rv0940c	NA
10	Rv0941c	NA
10	Rv0942	NA
10	Rv0943c	NA
10	Rv0944	NA
10	Rv0945	NA
10	Rv0946c	NA
10	Rv0947c	NA
10	Rv0948c	NA
10	Rv0949	0.49905954
10	Rv0950c	NA
10	Rv0951	NA
10	Rv0952	NA
10	Rv0953c	NA
10	Rv0954	NA
10	Rv0955	0.25524692
10	Rv0956	NA
10	Rv0957	NA
10	Rv0958	NA
10	Rv0959	NA
10	Rv0960	NA
10	Rv0961	NA
10	Rv0962c	NA
10	Rv0963c	NA
10	Rv0964c	NA
10	Rv0965c	NA
10	Rv0966c	NA
10	Rv0967	NA
10	Rv0968	NA
10	Rv0969	NA
10	Rv0970	NA
10	Rv0971c	NA
10	Rv0972c	NA
10	Rv0973c	NA
10	Rv0974c	NA
10	Rv0975c	0
10	Rv0976c	NA
10	Rv0977	NA
10	Rv0978c	NA
10	Rv0979c	NA
10	Rv0979A	NA
10	Rv0980c	0.4824395
10	Rv0981	NA
10	Rv0982	NA
10	Rv0983	NA
10	Rv0984	NA
10	Rv0985c	0
10	Rv0986	NA
10	Rv0987	0.23979445
10	Rv0988	NA
10	Rv0989c	NA
10	Rv0990c	NA
10	Rv0991c	NA
10	Rv0992c	NA
10	Rv0993	NA
10	Rv0994	NA
10	Rv0995	NA
10	Rv0996	NA
10	Rv0997	0.22633568
10	Rv0998	NA
10	Rv0999	NA
10	Rv1000c	NA
10	Rv1001	NA
10	Rv1002c	NA
10	Rv1003	NA
10	Rv1004c	NA
10	Rv1005c	NA
10	Rv1006	NA
10	Rv1007c	NA
10	Rv1008	NA
10	Rv1009	0.25521304
10	Rv1010	NA
10	Rv1011	NA
10	Rv1012	NA
10	Rv1013	NA
10	Rv1014c	0.23684694
10	Rv1015c	NA
10	Rv1016c	NA
10	Rv1017c	NA
10	Rv1018c	NA
10	Rv1019	NA
10	Rv1020	NA
10	Rv1021	NA
10	Rv1022	NA
10	Rv1023	0
10	Rv1024	NA
10	Rv1025	NA
10	Rv1026	NA
10	Rv1027c	NA
10	Rv1028c	NA
10	Rv1028A	NA
10	Rv1029	NA
10	Rv1030	NA
10	Rv1031	NA
10	Rv1032c	NA
10	Rv1033c	NA
10	Rv1034c	NA
10	Rv1035c	NA
10	Rv1036c	NA
10	Rv1037c	NA
10	Rv1038c	NA
10	Rv1039c	NA
10	Rv1040c	NA
10	Rv1041c	NA
10	Rv1042c	NA
10	Rv1043c	NA
10	Rv1044	NA
10	Rv1045	NA
10	Rv1046c	0.5036019
10	Rv1047	NA
10	Rv1048c	0
10	Rv1049	NA
10	Rv1050	NA
10	Rv1051c	NA
10	Rv1052	NA
10	Rv1053c	NA
10	Rv1054	NA
10	Rv1055	NA
10	Rv1056	NA
10	Rv1057	NA
10	Rv1058	0.25743707
10	Rv1059	0
10	Rv1060	NA
10	Rv1061	NA
10	Rv1062	NA
10	Rv1063c	NA
10	Rv1064c	NA
10	Rv1065	NA
10	Rv1066	NA
10	Rv1067c	NA
10	Rv1068c	NA
10	Rv1069c	NA
10	Rv1070c	NA
10	Rv1071c	0.55107208
10	Rv1072	NA
10	Rv1073	NA
10	Rv1074c	NA
10	Rv1075c	NA
10	Rv1076	NA
10	Rv1077	NA
10	Rv1078	NA
10	Rv1079	NA
10	Rv1080c	NA
10	Rv1081c	NA
10	Rv1082	NA
10	Rv1083	NA
10	Rv1084	NA
10	Rv1085c	NA
10	Rv1086	NA
10	Rv1087	NA
10	Rv1087A	NA
10	Rv1088	NA
10	Rv1089	NA
10	Rv1089A	NA
10	Rv1090	NA
10	Rv1091	NA
10	Rv1092c	NA
10	Rv1093	NA
10	Rv1094	NA
10	Rv1095	0
10	Rv1096	NA
10	Rv1097c	0
10	Rv1098c	NA
10	Rv1099c	NA
10	Rv1100	1.15288178
10	Rv1101c	NA
10	Rv1102c	NA
10	Rv1103c	NA
10	Rv1104	NA
10	Rv1105	NA
10	Rv1106c	NA
10	Rv1107c	NA
10	Rv1108c	NA
10	Rv1109c	NA
10	Rv1110	NA
10	Rv1111c	NA
10	Rv1112	0.55828027
10	Rv1113	NA
10	Rv1114	NA
10	Rv1115	NA
10	Rv1116	0
10	Rv1116A	NA
10	Rv1117	NA
10	Rv1118c	NA
10	Rv1119c	NA
10	Rv1120c	NA
10	Rv1121	NA
10	Rv1122	NA
10	Rv1123c	NA
10	Rv1124	NA
10	Rv1125	NA
10	Rv1126c	NA
10	Rv1127c	NA
10	Rv1128c	NA
10	Rv1129c	NA
10	Rv1130	1.13473476
10	Rv1131	NA
10	Rv1132	NA
10	Rv1133c	NA
10	Rv1134	NA
10	Rv1135c	0
10	Rv1135A	NA
10	Rv1136	NA
10	Rv1137c	NA
10	Rv1138c	NA
10	Rv1139c	NA
10	Rv1140	NA
10	Rv1141c	NA
10	Rv1142c	NA
10	Rv1143	NA
10	Rv1144	NA
10	Rv1145	NA
10	Rv1146	NA
10	Rv1147	NA
10	Rv1148c	0
10	Rv1150	NA
10	Rv1151c	NA
10	Rv1152	NA
10	Rv1153c	NA
10	Rv1154c	NA
10	Rv1155	NA
10	Rv1156	NA
10	Rv1157c	NA
10	Rv1158c	NA
10	Rv1159	NA
10	Rv1159A	NA
10	Rv1160	NA
10	Rv1161	NA
10	Rv1162	NA
10	Rv1163	NA
10	Rv1164	2.3711232
10	Rv1165	NA
10	Rv1166	NA
10	Rv1167c	NA
10	Rv1168c	NA
10	Rv1169c	NA
10	Rv1170	NA
10	Rv1171	NA
10	Rv1172c	NA
10	Rv1173	NA
10	Rv1174c	NA
